p_id,name,price,colour,brand,ratingCount,avg_rating,Occasion,Print_Pattern_Type,Sustainable,Knit_or_Woven,Fabric,Fabric_Purity,brandID
1518329.0,Dupatta Bazaar White Embroidered Chiffon Dupatta,899.0,White,Dupatta Bazaar,1321.0,4.548826646,Daily,Floral,,Knitted and Woven,Cotton,,221
5829334.0,Roadster Women Mustard Yellow Solid Hooded Sweatshirt,1199.0,Mustard,Roadster,5462.0,4.313255218,Casual,Solid,,Knitted and Woven,Cotton,,702
10340119.0,Inddus Peach-Coloured & Beige Unstitched Dress Material,5799.0,Peach,Inddus,145.0,4.068965517,Daily,Ethnic Motifs,,Knitted and Woven,Cotton Blend,,363
10856380.0,SASSAFRAS Women Black Parallel Trousers,1499.0,Black,SASSAFRAS,9124.0,4.147523016,Casual,Solid,Regular,Woven,Cotton,,720
12384822.0,Kotty Women Black Wide Leg High-Rise Clean Look Jeans,1999.0,Black,Kotty,12260.0,4.078466558,Casual,Solid,,Knitted and Woven,Cotton,,446
12742100.0,KASSUALLY Women Black & Pink Printed Basic Jumpsuit,2199.0,Black,KASSUALLY,6297.0,4.349213911,Casual,Printed,Regular,Knitted and Woven,Polyester,,412
13842966.0,Sassafras Brown & Red Geometric Printed Georgette Wrap Crop Top,1499.0,Brown,SASSAFRAS,7358.0,4.395351998,Casual,Geometric,Regular,Woven,Polyester,,720
14021452.0,Sera Women Multicoloured  Printed Tie-Up Shrug,1494.0,Multi,Sera,750.0,4.288,Casual,Printed,Regular,Woven,Poly Crepe,,771
14063026.0,Tokyo Talkies Women Black Solid Regular Shorts,699.0,Black,Tokyo Talkies,1856.0,4.530711207,Casual,Solid,Regular,Knitted,Cotton,,845
14324806.0,Anouk Stylish Black Solid Ready to Wear Lehenga Choli with Dupatta,4699.0,Black,Anouk,84.0,3.80952381,Casual,Printed,Regular,Knitted and Woven,Viscose Rayon,,76
14955068.0,Roadster Women Elegant Mauve Solid Leisure Set Co-Ords,2599.0,Mauve,Roadster,752.0,4.21143617,Casual,Solid,Regular,Knitted and Woven,Cotton Blend,,702
16595858.0,Saree Mall Floral Saree,3599.0,Pink,Saree mall,1005.0,3.980099502,Party,Floral,Regular,Woven,Organza,,765
